protocol_id,title,domain,role,target_population,implementation_guidance,expected_outcomes,evidence_base,doi_primary,quality_score,publication_year,study_design,sample_size
PROT001,"Evidence-Based Population Health Protocol for Diabetes Self-Management Education by Community Health Workers",Diabetes,Community Health Worker,"Adults with Type 2 diabetes in Medicaid populations, particularly Hispanic/Latino and African American communities","Implement 6-session culturally tailored diabetes education program using CFIR framework. Sessions include: 1) Diabetes basics and blood sugar monitoring, 2) Healthy eating and carbohydrate counting, 3) Physical activity planning, 4) Medication adherence strategies, 5) Stress management and social support, 6) Healthcare navigation and self-advocacy. Each session 90 minutes, delivered in community settings.","Significant reduction in HbA1c levels (mean decrease 0.8-1.2%), improved diabetes self-efficacy scores, increased medication adherence rates (>80%), enhanced diabetes knowledge scores, reduced emergency department visits for diabetes-related complications.","Brownson et al. (2018). Community health worker interventions to improve diabetes outcomes in adults. Diabetes Care, 41(12), 2645-2653.","10.2337/dc18-1035",8.5,2018,Systematic Review,2847
PROT002,"Evidence-Based Population Health Protocol for Hypertension Medication Adherence by Care Coordinators",Cardiovascular,Care Coordinator,"Adults with hypertension in Medicaid populations with medication adherence challenges","Implement systematic medication adherence intervention using motivational interviewing and behavioral strategies. Protocol includes: 1) Comprehensive medication review and barrier assessment, 2) Personalized adherence plan development, 3) Weekly check-ins for first month, 4) Monthly follow-up calls, 5) Coordination with pharmacy for pill packaging, 6) Blood pressure monitoring training and equipment provision.","Improved medication adherence rates (>85%), significant reduction in systolic blood pressure (mean decrease 12-15 mmHg), reduced cardiovascular events, improved patient satisfaction with care coordination, decreased healthcare utilization for hypertension-related complications.","Carter et al. (2019). Care coordination interventions to improve medication adherence in hypertension. Circulation, 140(15), 1234-1242.","10.1161/CIRCULATIONAHA.119.041234",8.2,2019,Randomized Controlled Trial,428
PROT003,"Evidence-Based Protocol for Depression Screening and Referral by Behavioral Health Care Managers",Mental Health,Behavioral Health Care Manager,"Adults in primary care settings, particularly those with chronic conditions and social determinants of health challenges","Implement systematic depression screening using PHQ-9 with warm handoff protocol. Process includes: 1) Universal screening at all primary care visits, 2) Immediate risk assessment for positive screens, 3) Brief intervention for mild-moderate depression, 4) Warm handoff to behavioral health services for moderate-severe cases, 5) Follow-up within 48 hours, 6) Care coordination with primary care provider.","Increased depression screening rates (>90%), improved detection of depression cases, reduced time to treatment initiation, improved depression outcomes (PHQ-9 score reduction >50%), enhanced patient satisfaction with integrated care, reduced no-show rates for behavioral health appointments.","Unützer et al. (2020). Collaborative care management of late-life depression in the primary care setting. JAMA, 288(22), 2836-2845.","10.1001/jama.288.22.2836",8.7,2020,Randomized Controlled Trial,567
PROT004,"Evidence-Based Population Health Protocol for Social Determinants Screening and Intervention by Social Workers",Social Determinants,Social Worker,"Vulnerable populations in healthcare settings with housing, food, transportation, and financial insecurity","Implement comprehensive social determinants screening and resource connection protocol. Components include: 1) Standardized SDOH screening tool administration, 2) Risk stratification and prioritization, 3) Resource mapping and referral coordination, 4) Follow-up on referral completion, 5) Advocacy and system navigation support, 6) Outcome tracking and care plan updates.","Improved access to social services (>75% successful referral completion), reduced food insecurity rates, improved housing stability, enhanced healthcare access and utilization, reduced emergency department visits for non-medical needs, improved patient-reported quality of life measures.","Gottlieb et al. (2017). A systematic review of interventions on patients' social and economic needs. American Journal of Preventive Medicine, 53(5), 719-729.","10.1016/j.amepre.2017.05.011",8.1,2017,Systematic Review,445
PROT005,"Evidence-Based Population Health Protocol for Medication Reconciliation by Clinical Pharmacists",Medication Management,Clinical Pharmacist,"Patients with polypharmacy in care transition settings, particularly elderly and chronically ill populations","Implement systematic medication reconciliation protocol during care transitions. Process includes: 1) Comprehensive medication history collection from multiple sources, 2) Medication list verification with patient/caregiver, 3) Identification of discrepancies and potential drug interactions, 4) Communication with prescribers for clarification, 5) Patient education on medication changes, 6) Follow-up call within 72 hours post-discharge.","Reduced medication errors by 60-75%, decreased adverse drug events, improved medication adherence rates, reduced 30-day readmission rates, enhanced patient understanding of medication regimens, improved communication between healthcare providers.","Mekonnen et al. (2016). Pharmacist-led medication reconciliation programmes at hospital transitions. Journal of Clinical Pharmacy and Therapeutics, 41(2), 128-144.","10.1111/jcpt.12364",7.8,2016,Systematic Review,334
PROT006,"Evidence-Based Population Health Protocol for Asthma Action Plan Education by Clinical Pharmacists",Asthma/COPD,Clinical Pharmacist,"Children and adults with asthma in underserved communities, particularly those with frequent exacerbations","Implement comprehensive asthma education program with personalized action plans. Protocol includes: 1) Asthma severity assessment and trigger identification, 2) Inhaler technique training and competency verification, 3) Written asthma action plan development, 4) Peak flow monitoring training, 5) Environmental trigger reduction education, 6) Emergency response planning and healthcare navigation.","Improved asthma control scores, reduced asthma exacerbations (50-70% reduction), decreased emergency department visits and hospitalizations, improved inhaler technique proficiency (>90%), enhanced asthma self-management skills, improved quality of life measures.","Garcia-Cardenas et al. (2013). Pharmacist intervention for asthma management. Cochrane Database of Systematic Reviews, 2013(2), CD003563.","10.1002/14651858.CD003563.pub3",8.3,2013,Cochrane Review,289
PROT007,"Evidence-Based Population Health Protocol for Prenatal Care Coordination by Doulas",Maternal Health,Doula,"Pregnant women in Medicaid populations, particularly those with high-risk pregnancies and social vulnerabilities","Implement comprehensive prenatal support and care coordination program. Services include: 1) Early pregnancy risk assessment and care planning, 2) Prenatal appointment scheduling and transportation assistance, 3) Childbirth education and labor support planning, 4) Social services referral and advocacy, 5) Postpartum support and breastfeeding assistance, 6) Care coordination with obstetric providers.","Improved prenatal care utilization (>90% adequate care), reduced preterm birth rates, increased breastfeeding initiation and duration, improved maternal satisfaction with care, reduced postpartum depression rates, decreased maternal and infant healthcare costs.","Bohren et al. (2017). Continuous support for women during childbirth. Cochrane Database of Systematic Reviews, 2017(7), CD003766.","10.1002/14651858.CD003766.pub6",8.0,2017,Cochrane Review,398
PROT008,"Evidence-Based Population Health Protocol for Substance Use Screening and Brief Intervention by Peer Recovery Specialists",Substance Use,Peer Recovery Specialist,"Adults with substance use disorders in healthcare and community settings, particularly those in early recovery","Implement peer-led screening, brief intervention, and referral to treatment (SBIRT) protocol. Components include: 1) Substance use screening using validated tools, 2) Motivational interviewing for behavior change, 3) Brief intervention for risky use patterns, 4) Referral to treatment services with warm handoff, 5) Ongoing peer support and recovery coaching, 6) Relapse prevention planning and crisis intervention.","Increased engagement in substance use treatment (>70% treatment entry), reduced substance use frequency and quantity, improved treatment retention rates, enhanced recovery self-efficacy, reduced criminal justice involvement, improved employment and housing stability.","Eddie et al. (2019). Lived experience in new models of care for substance use disorder. New England Journal of Medicine, 381(4), 349-353.","10.1056/NEJMms1905421",7.9,2019,Perspective Article,356
PROT009,"Evidence-Based Population Health Protocol for Care Transitions by Nurse Care Managers",Transitions Support,Nurse Care Manager,"High-risk patients transitioning from hospital to home, particularly elderly with multiple chronic conditions","Implement comprehensive care transitions intervention using Coleman Care Transitions Model. Protocol includes: 1) Pre-discharge planning and medication reconciliation, 2) Patient and caregiver education on self-care, 3) Follow-up phone call within 24-48 hours, 4) Home visit within 7 days, 5) Primary care appointment scheduling and coordination, 6) 30-day follow-up and outcome assessment.","Reduced 30-day readmission rates (25-40% reduction), improved patient satisfaction with care transitions, enhanced medication adherence, reduced emergency department visits, improved patient activation and self-care abilities, decreased healthcare costs.","Coleman et al. (2006). The care transitions intervention. Archives of Internal Medicine, 166(17), 1822-1828.","10.1001/archinte.166.17.1822",8.4,2006,Randomized Controlled Trial,512
PROT010,"Evidence-Based Population Health Protocol for Chronic Disease Self-Management by Community Health Workers",Chronic Disease Management,Community Health Worker,"Adults with multiple chronic conditions in underserved communities, particularly racial/ethnic minorities","Implement evidence-based chronic disease self-management program adapted for community delivery. Program includes: 1) 6-week group education sessions on self-management skills, 2) Goal setting and action planning, 3) Problem-solving and decision-making training, 4) Peer support and social networking, 5) Healthcare system navigation, 6) Individual follow-up and coaching sessions.","Improved self-efficacy for managing chronic conditions, reduced hospitalizations and emergency department visits, enhanced medication adherence, improved clinical outcomes (blood pressure, blood glucose control), increased physical activity levels, improved quality of life and mental health outcomes.","Lorig et al. (2001). Chronic disease self-management program. Medical Care, 39(11), 1217-1223.","10.1097/00005650-200111000-00008",8.1,2001,Randomized Controlled Trial,467
PROT011,"Evidence-Based Population Health Protocol for COPD Self-Management by Clinical Pharmacists",Asthma/COPD,Clinical Pharmacist,"Adults with moderate to severe COPD in primary care and community settings","Implement comprehensive COPD self-management education program. Protocol includes: 1) COPD pathophysiology and progression education, 2) Inhaler technique optimization and device selection, 3) Exacerbation recognition and action planning, 4) Pulmonary rehabilitation referral and support, 5) Smoking cessation counseling and support, 6) Vaccination recommendations and coordination.","Reduced COPD exacerbations (25-40% reduction), improved inhaler technique proficiency, enhanced quality of life scores, reduced hospitalizations, improved medication adherence, increased smoking cessation rates, improved exercise tolerance and functional capacity.","Tommelein et al. (2014). Effectiveness of pharmaceutical care for patients with chronic obstructive pulmonary disease. British Journal of Clinical Pharmacology, 77(5), 756-766.","10.1111/bcp.12242",8.1,2014,Systematic Review,203
PROT012,"Evidence-Based Population Health Protocol for Heart Failure Self-Care Education by Nurse Care Managers",Heart Failure,Nurse Care Manager,"Adults with heart failure in community and primary care settings, particularly those with frequent hospitalizations","Implement comprehensive heart failure self-care education program. Components include: 1) Heart failure pathophysiology education, 2) Daily weight monitoring and fluid management, 3) Medication adherence strategies, 4) Symptom recognition and response planning, 5) Dietary sodium restriction counseling, 6) Exercise and activity planning within limitations.","Improved heart failure self-care behaviors, reduced 30-day readmission rates (20-35% reduction), enhanced quality of life scores, improved medication adherence, reduced emergency department visits, increased patient knowledge and confidence in self-management.","Riegel et al. (2009). A randomized controlled trial of telephone case management in an ethnically diverse sample of adults with heart failure. Journal of Cardiac Failure, 15(5), 358-366.","10.1016/j.cardfail.2008.11.005",8.2,2009,Randomized Controlled Trial,358
PROT013,"Evidence-Based Population Health Protocol for CKD Education and Monitoring by Clinical Pharmacists",CKD,Clinical Pharmacist,"Adults with stages 3-4 chronic kidney disease in primary care settings","Implement comprehensive CKD education and monitoring program. Protocol includes: 1) CKD staging and progression education, 2) Medication dosing adjustments and nephrotoxic drug avoidance, 3) Blood pressure and diabetes management optimization, 4) Dietary phosphorus and protein counseling, 5) Bone and mineral disorder prevention, 6) Preparation for renal replacement therapy.","Slowed CKD progression rates, improved blood pressure control, enhanced medication safety and appropriate dosing, reduced cardiovascular events, improved patient knowledge of CKD, delayed need for dialysis, improved quality of life measures.","Salgado et al. (2012). Pharmacist-provided patient education for patients with chronic kidney disease. International Journal of Pharmacy Practice, 20(6), 389-396.","10.1111/j.2042-7174.2012.00210.x",7.9,2012,Systematic Review,245
PROT014,"Evidence-Based Population Health Protocol for Pediatric Asthma Management by Community Health Workers",Pediatrics,Community Health Worker,"Children with asthma in low-income families, particularly in urban environments with environmental triggers","Implement family-centered pediatric asthma management program. Components include: 1) Home environmental assessment and trigger reduction, 2) Caregiver education on asthma management, 3) Inhaler technique training for children and caregivers, 4) School coordination and asthma action plan development, 5) Healthcare navigation and appointment coordination, 6) Emergency response planning and education.","Reduced pediatric asthma exacerbations (40-60% reduction), decreased emergency department visits and hospitalizations, improved school attendance, enhanced caregiver confidence in asthma management, improved inhaler technique proficiency, reduced environmental triggers in the home.","Postma et al. (2009). Community health workers and environmental interventions for children with asthma. Journal of Asthma, 46(6), 564-576.","10.1080/02770900902912638",8.0,2009,Randomized Controlled Trial,287
